pc11_district_id,pc11_state_id,pc11_subdistrict_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
338,19,02355,74586.91892415666,16771.352404430578,0.2647128445998578,0.1908840571878435,0.0,0.0,1.0,1.0
339,19,02356,62589.31460300191,13226.574092790392,0.5637996057793567,0.46769626472798304,0.0151125165465509,0.0151125165465509,1.0,1.0
339,19,02357,73158.67051206375,15264.279543259085,0.428726609281588,0.3422156339776231,0.0,0.0,1.0,1.0
339,19,02358,65766.88950483622,14100.919703541816,0.5030330520833527,0.4235461643331736,0.0197210649043508,0.0197210649043508,1.0,1.0
339,19,02359,66891.93908688278,13891.562862988278,0.5110017175573731,0.42752459989970004,0.0334243484861263,0.0334243484861263,1.0,1.0
339,19,02360,66629.26505509367,13592.100017714392,0.5123936717085993,0.445523726245841,0.0232938500658054,0.0232938500658054,1.0,1.0
339,19,02361,68012.82700842591,14382.565671889692,0.4792514813277318,0.4062877989582748,0.0,0.0,1.0,1.0
339,19,02362,73122.1218350635,15926.71015743952,0.4072278627777298,0.330280848905661,0.0103859041344843,0.0103859041344843,1.0,1.0
339,19,02363,65450.8632700242,14850.912777362553,0.448324455908813,0.36909332765998776,0.0524046453311245,0.0524046453311245,1.0,1.0
339,19,02364,64214.735259437235,14207.787291666544,0.47542950216319607,0.3983169174101931,0.0058035123537306,0.0058035123537306,1.0,1.0
339,19,02365,65367.511659506315,14549.387969435686,0.43534410073413415,0.3499347571257537,0.014570543814853,0.014570543814853,1.0,1.0
339,19,02366,72612.71342988181,16365.870608801933,0.33715949607107454,0.25151246698086144,0.0,0.0,1.0,1.0
339,19,02367,74347.98460854484,16811.234187567272,0.3079691339233233,0.23368436271625126,0.003544250438178,0.003544250438178,1.0,1.0
339,19,02368,70743.81339375308,15617.949662907384,0.38376996799601726,0.3001927183677287,0.0021284731073157,0.0021284731073157,1.0,1.0
339,19,02369,67827.00413240975,14739.647554339417,0.4177988383962467,0.33385122987675026,0.0212023823188073,0.0212023823188073,1.0,1.0
339,19,02370,62581.15555949366,13238.414449208092,0.5235292741887624,0.45738471297658184,0.0467104639028554,0.0467104639028554,1.0,1.0
