ac08_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2008-19-052,62742.07621524499,13107.369434329657,0.5187430862893906,0.4081514888741611,0.0014998288931497,0.0014998288931497,0.9475987198923668,0.7652813850516368,0.1118540707124916
2008-19-053,70124.09251961565,14165.761647465208,0.4225508307658987,0.31251147047270644,0.0783739450201541,0.0783739450201541,0.9650002175899228,0.7652813850516368,0.0677236705115463
2008-19-054,62018.16127783635,12021.980553138823,0.5652619174413395,0.4567997256951577,0.0307693433221561,0.0307693433221561,0.9609941241975736,0.7652813850516368,0.0933717295996722
2008-19-055,62106.67063831796,12263.642620199415,0.5810676685621609,0.4797508084348814,0.0001747964691594,0.0001747964691594,0.966472343535316,0.7652813850516368,0.0562230043389233
2008-19-057,60588.88980207669,11592.080615909374,0.6061827315263623,0.5047740000678703,0.0,0.0,0.9807678519854064,0.7986930537556782,0.0721275764673147
2008-19-058,68411.88905127895,13839.01523648307,0.45554244276789363,0.34812484545825967,0.0055759929683346,0.0055759929683346,0.9702702131052154,0.7986930537556782,0.0533548484532118
2008-19-059,63538.35611126871,12204.129793125656,0.5634272024992306,0.45090431265882813,1.1102230246251563e-16,1.1102230246251563e-16,0.9079599818209224,0.7986930537556782,0.1422675755881631
2008-19-060,59779.49719571284,12916.167791470685,0.5293165721977484,0.43416964768120714,0.0,0.0,0.9882076378176798,0.7986930537556782,0.0256889499456461
2008-19-061,61912.91668102805,13206.589460796353,0.5193297315509184,0.4238399243139601,0.0247044253218814,0.0247044253218814,0.9378644685465812,0.7986930537556782,0.1803549107253143
2008-19-062,59475.5326342413,13781.07624485306,0.4815553398688722,0.39432367779715927,0.0,0.0,0.9666378837525342,0.7986930537556782,0.0844036209203051
2008-19-063,58352.91034806407,13830.404050171637,0.46291005740688795,0.379477890860221,0.001348786198379,0.001348786198379,0.9793438258342094,0.7986930537556782,0.056551896150799
2008-19-064,62769.19339183129,14624.725875390468,0.4301606178942092,0.3323700831852992,0.0,0.0,0.9766327535592876,0.7986930537556782,0.0438906055147214
2008-19-065,59923.03574486753,13660.348734163657,0.4862097112243186,0.3932675504832457,0.0,0.0,0.987101927986166,0.7986930537556782,0.031061445854502
